Ord.Date & Time,Exch.,Symbol,Action,Ord. Qty,Discl. Qty,Exec. Qty,Ord. Price,Trigger Price,Book Type,Sett. Type,Terminal Id,Order Type,Source,Product,Status,Reason,Ref. No.,Exch. Order No.,BasketId/SIP REF. No.
3/30/2026 13:59,NSE,SPANDANAEQ,BUY,3,0,3,186,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26033000368318,1300000087474970,0
3/30/2026 13:24,NSE,ITCEQ,BUY,2,0,2,290,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26033000336339,1100000087464720,0
5/29/2026 14:47,NSE,NEULANDLABEQ,BUY,2,0,2,17136,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26052900377853,1200000088701630,0
5/29/2026 9:37,NSE,NEULANDLABEQ,SELL,2,0,2,17029,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Confirmed Trade,---,26052900084704,1200000011421190,0
5/27/2026 11:26,NSE,NEULANDLABEQ,SELL,2,0,0,17280,0,Reg. Lot,---,6290645,LIMIT,MOBILE,CnC-Intraday,Cancelled Order,---,26052700102283,1200000012401000,0
5/27/2026 9:40,NSE,ITCEQ,BUY,5,0,5,293.5,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26052700081113,1100000013150200,0
5/27/2026 9:39,NSE,ITCEQ,BUY,5,0,5,293.5,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26052700080880,1100000013079880,0
3/27/2026 17:26,NSE,TMPVEQ,BUY,3,0,0,301,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,---,26032700249407,1300000057615060,0
1/27/2026 17:37,NSE,PARADEEPEQ,BUY,5,0,0,125,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,---,26012700348442,1200000060882960,0
1/27/2026 14:50,BSE,ITCEQ,BUY,5,0,5,318,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26012700415404,1.76950325561402E+018,0
1/27/2026 12:50,NSE,BAJFINANCEEQ,BUY,45,0,45,914,0,Reg. Lot,---,6290645,LIMIT,MOBILE,E-Margin,Confirmed Trade,---,26012700346008,1000000057145950,0
2/26/2026 17:25,NSE,PARADEEPEQ,BUY,10,0,0,114,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Expired Order,---,26022600049750,1200000005890760,0
5/25/2026 14:27,NSE,ITCEQ,SELL,1,0,0,300,300.1,Stop Loss,---,6290645,LIMIT,MOBILE,CnC-Intraday,Cancelled Order,---,26052500354034,1100000078625780,0
5/25/2026 14:25,NSE,ITCEQ,SELL,1,0,0,300,300.5,Stop Loss,---,6290645,LIMIT,MOBILE,CnC-Intraday,Cancelled Order,---,26052500353140,1100000078331600,0
5/25/2026 14:24,NSE,ITCEQ,BUY,1,0,1,303.1,0,Reg. Lot,---,6290645,MKT,MOBILE,Cash,Confirmed Trade,---,26052500352701,1100000078158650,0
6/25/2026 15:13,BSE,GOLDBEESEQ,BUY,3,0,3,114.7,0,Reg. Lot,---,6290645,LIMIT,MOBILE,Cash,Confirmed Trade,---,26062500097307,1.78235910001174E+018,0
